f	page	initiator	type	public/private	preciseLoc	comments	subject	recipient	present
668	134	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		Marguerite de France	Mme de Clèves	No one else present
669	134	Le Roi (Henri II)	"Quoted" conversation	Private	At court but in private quarters		Le Roi (Henri II), Le Roi d'Espagne, Elisabeth (fille de France), Marguerite de France	Mme de Clèves	No one else present
670	134	Le Roi (Henri II)	"Quoted" conversation	unspecified	Court		Elisabeth (fille de France), reine d'Espagne	La Dauphine	unspecified
671	134	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Marguerite de France, Monsieur de Savoie	La cour	La cour
672	135	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	"Le Roi et les reines allíÂrent voir Madame de Clèves"	Mme de Clèves	Mme de Clèves	La Dauphine, Catherine de Médicis, Marguerite de France
673	135	Nemours	physical exchange	Private	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	No one else present
674	135	Nemours	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Chartres	Mme de Clèves	No one else present
675	135	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Chartres	Nemours	No one else present
676	135	Nemours	"Quoted" conversation	Private	Home of Clèves in Paris		La Dauphine	Mme de Clèves	No one else present
677	135	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		La Dauphine	Nemours	No one else present
678	136	Nemours	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	No one else present
679	136	M. de Clèves	physical exchange	Private	Home of Clèves in Paris	L'arriví©e de monsieur de Clèves n'eut fini la conversation et sa visite" (136)	Mme de Clèves, Nemours	Mme de Clèves, Nemours	No one else present
680	137	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Sancerre	Mme de Clèves	No one else present
681	137	M. de Clèves	physical exchange	Private	Home of Clèves in Paris	M. de Clèves fut malade a peu pres dans le míÈme temps. Madame de Clèves ne sortit point de sa chambre pendant son mal. 137	Mme de Clèves	Mme de Clèves	unspecified
682	138	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		M. de Clèves	M. de Clèves	Mme de Clèves, unspecified
683	138	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	M. de Clèves
684	138	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		Nemours	Nemours	M. de Clèves
685	138	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		La cour	Mme de Clèves	No one else present
686	138	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		La cour	M. de Clèves	No one else present
687	138	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		La cour	Mme de Clèves	No one else present
688	139	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Le Roi í©tait chez la Reine a l'heure du cercle"	Le Roi (Henri II)	Catherine de Médicis	La cour
689	139	impersonal character	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Non-person subject	La cour	La cour
690	139	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Au "cercle de la reine"	Discussion of astrology	Non-person subject	La cour	La cour
691	139	Le Roi (Henri II)	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Au cercle de la reine, discussion of astrology	Monsieur d'Escars, l'astrologue, M. de Guise	La cour	La cour
692	140	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Le Roi (Henri II)	La cour	La cour
693	139	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine	Non-person subject	La cour	La cour
694	140	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	Mme de Clèves	La cour
695	140	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves, Nemours	Nemours	La cour
696	140	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves, Nemours	La Dauphine	La cour
697	140	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Elizabeth (Reine d'Angleterre)	Nemours	La cour
698	140	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Elle voyait monsieur de Nemours chez Monsieur de Clèves"	Nemours	Nemours	M. de Clèves
699	141	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Chevalier Guise	La cour
700	142	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	Le Roi (Henri II), La Dauphine	La cour
701	142	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	Mme de Clèves	La cour
702	144	Les dames de la cour	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	La Dauphine	No one else present
703	144	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	La Dauphine	Les dames de la cour
704	145	La Dauphine	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	in the P. de Cleves's appartment	Mme de Clèves	Mme de Clèves	Duc de Nemours, unspecified
705	145	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Princesse de Cleves apartment	Mme de Clèves	Mme de Clèves	La cour, Les dames de la cour
706	145	La Dauphine	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	M. de Clèves	La cour
707	145	La cour	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	La cour	La cour
708	145	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	le peintre	M. de Clèves, Duc de Nemours, La Dauphine, La cour
709	145	le peintre	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	Mme de Clèves	Duc de Nemours, La cour
710	145	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		unspecified	Mme de Clèves	M. de Clèves, Duc de Nemours, le peintre, La cour
711	145	Nemours	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	Mme de Clèves	Duc de Nemours, La Dauphine, La cour
712	145	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		unspecified	Mme de Clèves	M. de Clèves, Duc de Nemours, La cour
713	146	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	Mme de Clèves	M. de Clèves, La Dauphine
714	146	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Apartement de la princesse	Mme de Clèves	Mme de Clèves	M. de Clèves, La Dauphine, La cour, Les dames de la cour
715	146	La Dauphine	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Madame la Dauphine sortit pour s'aller promener, suivie de toutes les dames"	La Dauphine	"elle sortit suivie des dames"	Les dames de la cour
716	146	impersonal character	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Le soir on chercha ce portrait avec beaucoup de soin" (146)	Mme de Clèves	La cour	La cour
717	146	M. de Clèves	verbal exchange narrated by the narrator	Private	At court but in private quarters		Mme de Clèves	Mme de Clèves	unspecified
718	147	Elisabeth (fille de France)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi d'Espagne	Le Roi (Henri II)	La cour
719	147	Le Roi d'Espagne	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Duc d'Albe	Elisabeth (fille de France)	La cour
720	147	impersonal character	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Marguerite de France	Monsieur de Savoie, Monsieur de Savoie	La cour
721	148	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"on proposa des ballets et des comí©dies, mais le Roi trouva ces divertissement trop particuliers" (148)	court activities for joint weddings	Le Roi (Henri II)	La cour
722	148	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		les í©trangers, le peuple	La cour	La cour
723	148	Hommes jeunes et galants	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Le Roi (Henri II), M. de Guise, Duc de Ferrare	Nemours, M. de Guise, Duc de Ferrare	La cour
724	148	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Le Roi (Henri II), M. de Guise, M. de Guise, Duc de Ferrare	Nemours, Chevalier Guise, Duc de Ferrare	La cour
725	148	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Le Roi (Henri II), Le Duc de Lorraine, M. de Guise, Monsieur de Savoie, Duc de Ferrare	le peuple, La cour	La cour
726	149	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Episode du jeu de paume	Nemours, Chevalier Guise, Vidame	Nemours, Chevalier Guise, Vidame	Mme de Clèves, Valentinois, La Dauphine, Catherine de Médicis, Elisabeth (fille de France), Marguerite de France, Les dames de la cour
727	149	Chastelart	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	La Dauphine	unspecified
728	149	Valentinois	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Chastelart	unspecified
729	149	La Dauphine	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II), Catherine de Médicis	Le Roi (Henri II), Catherine de Médicis	La cour
730	149	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Nemours	Mme de Clèves, La Dauphine, Catherine de Médicis, Le Chevalier de Guise, La cour, Les dames de la cour
731	150	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Nemours, Chevalier Guise	La cour
732	150	Chevalier Guise	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Mme de Clèves	La cour
733	150	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Episode where he falls off his horse	Mme de Clèves	Mme de Clèves	La cour
734	150	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	La Dauphine, Catherine de Médicis, Marguerite de France	La cour
735	150	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Nemours	La cour
736	150	Chevalier Guise	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court	walking away from the "lice"	Mme de Clèves, Nemours	Mme de Clèves	La cour
737	150	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Chevalier Guise	La cour
738	151	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Madame de Clèves, en sortant de la lice, alla chez la reine"	Catherine de Médicis	Catherine de Médicis	La cour
739	151	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	"Monsieur de Nemours y vint [chez la reine] peu de temps apríÂs"	Catherine de Médicis	Catherine de Médicis	La cour
740	151	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine	Nemours	Nemours	La cour
741	151	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Nemours	La cour
742	151	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine	Mme de Clèves	Mme de Clèves	La cour
743	152	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Mme de Clèves	La cour
744	152	La Dauphine	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Mme de Clèves	La cour
745	156	M. de Clèves	physical exchange	Private	At court but in private quarters	Quand M de Clèves revint de chez le Roi	Le Roi (Henri II)	M. de Clèves	unspecified
746	156	impersonal character	verbal exchange narrated by the narrator	Private	At court but in private quarters		Mme de Clèves	M. de Clèves	unspecified
747	156	Vidame	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		M. de Guise, M. de Guise	M. de Guise	la jeunesse de la cour, Duc de Ferrare
748	156	Vidame	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Non-person subject	M. de Guise, la jeunesse de la cour	la jeunesse de la cour, Duc de Ferrare
749	156	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Vidame	Vidame	Monsieur de Guise, la jeunesse de la cour, Duc de Ferrare, Monsieur de Guise
750	156	Vidame	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Vidame	Nemours	Monsieur de Guise, la jeunesse de la cour, Duc de Ferrare, Monsieur de Guise
751	157	Le premier valet de chambre de la reine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	queen's quarters	Catherine de Médicis, Chastelart	Vidame	La vicomtesse d'UzíÂs
752	157	Vidame	verbal exchange narrated by the narrator	Private	At court but in private quarters		le gentilhomme de Chastelart	le gentilhomme de Chastelart	unspecified
753	157	Chastelart	verbal exchange narrated by the narrator	Private	At court but in private quarters		Nemours, La Dauphine	le gentilhomme de Chastelart	Vidame
754	158	Vidame	verbal exchange narrated by the narrator	Private	At court but in private quarters		Nemours	Nemours	No one else present
755	158	Vidame	"Quoted" conversation	Private	At court but in private quarters		Nemours, Catherine de Médicis	Nemours	No one else present
756	158	Nemours	"Quoted" conversation	Private	At court but in private quarters		Nemours, Catherine de Médicis	Vidame	No one else present
757	158	Vidame	"Quoted" conversation	Private	At court but in private quarters		Catherine de Médicis, Madame de Thémines	Nemours	No one else present
758	163	Vidame	"Quoted" conversation	Private	At court but in private quarters		Valentinois, Le Roi (Henri II), La Dauphine, Catherine de Médicis, Maréchal de Saint-André, Connétable de Montmorency	Nemours	No one else present
759	166	Vidame	"Quoted" conversation	Private	At court but in private quarters	Chez Nemours	La Dauphine, Catherine de Médicis, Cardinal de Lorraine, Madame de Thémines	Nemours	Duc de Nemours
760	167	Nemours	"Quoted" conversation	Private	At court but in private quarters		Catherine de Médicis, Vidame, Madame de Thémines, Mme de Martigues	Vidame	No one else present
761	168	Vidame	"Quoted" conversation	Private	At court but in private quarters		La Dauphine	Nemours	No one else present
762	168	Nemours	"Quoted" conversation	Private	At court but in private quarters		La Dauphine	Vidame	No one else present
763	168	Vidame	"Quoted" conversation	Private	At court but in private quarters		Nemours, La Dauphine, Catherine de Médicis, Vidame, Chastelart	Nemours	No one else present
764	169	Vidame	"Quoted" conversation	Private	At court but in private quarters		La Dauphine, Madame de Thémines, Monsieur d'Anville, Madame d'Ambroise	Nemours	No one else present
765	170	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	nemours "alla chez elle íæ l'heure qu'il crut qu'elle pouvait íÈtre í©veillí©e" (169)	Mme de Clèves	Mme de Clèves	unspecified
766	170	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Chartres, Vidame	M. de Clèves	No one else present
767	170	M. de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Prince de Cleves introduit Nemours dans la chambre de la princesse	Mme de Clèves, Nemours, Le Roi (Henri II), Vidame	Mme de Clèves	Duc de Nemours
768	170	Nemours	"Quoted" conversation	Private	At court but in private quarters		La Dauphine	Mme de Clèves	No one else present
769	171	Nemours	"Quoted" conversation	Private	At court but in private quarters		M. de Clèves, La Dauphine, Vidame	Mme de Clèves	No one else present
770	171	Mme de Clèves	"Quoted" conversation	Private	At court but in private quarters		La Dauphine	Nemours	No one else present
771	172	Nemours	verbal exchange narrated by the narrator	Private	At court but in private quarters		La Dauphine, Catherine de Médicis, Vidame, Madame de Thémines, Madame d'Ambroise	Mme de Clèves	No one else present
772	173	Mme de Clèves	verbal exchange narrated by the narrator	Private	At court but in private quarters		La Dauphine, Catherine de Médicis, Vidame, Mme de Martigues	Nemours	No one else present
773	173	impersonal character	verbal exchange narrated by the narrator	Private	At court but in private quarters		La Dauphine	Mme de Clèves	Duc de Nemours
774	173	Nemours	verbal exchange narrated by the narrator	Private	At court but in private quarters		Mme de Clèves, La Dauphine	Vidame	No one else present
775	173	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		Catherine de Médicis, Vidame, Chastelart	Mme de Clèves	unspecified
776	174	Mme de Clèves	"Quoted" conversation	Private	At court but in private quarters		M. de Clèves, Nemours	La Dauphine	No one else present
777	174	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		M. de Clèves, Nemours, Catherine de Médicis, Vidame	Mme de Clèves	unspecified
778	174	Mme de Clèves	"Quoted" conversation	Private	At court but in private quarters		M. de Clèves	La Dauphine	unspecified
779	175	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		M. de Clèves	Mme de Clèves	unspecified
780	175	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		Mme de Clèves, Catherine de Médicis, Chastelart	Mme de Clèves	unspecified
781	175	Mme de Clèves	verbal exchange narrated by the narrator	Private	At court but in private quarters		Nemours, La Dauphine	M. de Clèves	unspecified
782	175	Mme de Clèves	verbal exchange narrated by the narrator	Private	At court but in private quarters		Nemours, La Dauphine, Catherine de Médicis, Vidame, Madame de Thémines	Nemours	No one else present
783	176	impersonal character	verbal exchange narrated by the narrator	Private	At court but in private quarters		La Dauphine	Mme de Clèves, Nemours	No one else present
784	178	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris	Quand Cleves fut revenu (179)	Mme de Clèves	M. de Clèves	No one else present
785	179	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Clèves, Le Roi d'Espagne, Elisabeth (fille de France)	Mme de Clèves	No one else present
786	179	Nemours	verbal exchange narrated by the narrator	unspecified	Other private home of a character, not Clèves	Nemours invites Vidame to visit Mercoeur	La Duchesse de Mercoeur	Vidame	No one else present
787	179	Médecins	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Other private home of a character, not Clèves	home of Mercoeur	Nemours, Vidame	Nemours, Vidame	No one else present
788	180	Nemours	non-verbal exchange narrated by the narrator	at Couloumiers with domestiques	Country Home of Clèves		Mme de Clèves, M. de Clèves	Mme de Clèves, M. de Clèves	No one else present
789	181	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves	Mme de Clèves	Duc de Nemours
790	181	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		M. de Clèves, La cour	M. de Clèves	Duc de Nemours
791	181	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves	Mme de Clèves	Duc de Nemours
792	181	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves, La cour	M. de Clèves	Duc de Nemours
793	182	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Chartres, La cour	M. de Clèves	Duc de Nemours
794	183	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves, M. de Clèves	Mme de Clèves	Duc de Nemours
795	183	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves	M. de Clèves	Duc de Nemours
796	184	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves, La cour	Mme de Clèves	Duc de Nemours
797	184	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves, M. de Clèves	M. de Clèves	Duc de Nemours
798	184	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves	Cleves remembers the stolen portrait	Mme de Clèves, Non-person subject	Mme de Clèves	Duc de Nemours
799	185	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves	discussion of stolen portrait	Mme de Clèves, M. de Clèves, Non-person subject	M. de Clèves	Duc de Nemours
800	185	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Mme de Clèves, M. de Clèves	Mme de Clèves	Duc de Nemours
801	185	les gens des Clèves	verbal exchange narrated by the narrator	Private	Country Home of Clèves		M. de Clèves, Le Roi (Henri II), un gentilhomme du Roi	Mme de Clèves, M. de Clèves	Duc de Nemours
802	187	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez Mme de Mercoeur	Nemours	Vidame, Mercoeur	unspecified
803	187	Nemours	verbal exchange narrated by the narrator	Private	Location unspecified	nemours tells about confession to Vidame	Mme de Clèves, M. de Clèves	Vidame	unspecified
804	186	M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II)	Le Roi (Henri II)	unspecified
805	188	Le Roi (Henri II)	verbal exchange narrated by the narrator	Private	At court but in private quarters	Au Louvre in the "cabinet du Roi"	M. de Clèves, Le Roi d'Espagne, Elisabeth (fille de France)	M. de Clèves	No one else present
806	188	M. de Clèves	exchange of objects	Private	Country Home of Clèves	A letter from Cleves to his wife	Mme de Clèves, Le Roi (Henri II), Le Roi d'Espagne, Elisabeth (fille de France)	Mme de Clèves	No one else present
807	188	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
808	189	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
809	189	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, Chevalier Guise, Maréchal de Saint-André	Mme de Clèves	No one else present
810	189	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, La cour	M. de Clèves	No one else present
811	189	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
812	189	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	chez la dauphine au louvre	Mme de Clèves, Nemours, La Dauphine	Nemours, La Dauphine	La cour
813	190	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	He watches her being incredibly sad	Mme de Clèves, Nemours	Mme de Clèves	La Dauphine, La cour
814	190	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Au louvre chez la reine	Mme de Clèves, M. de Clèves	Catherine de Médicis	La cour
815	190	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine	Le Roi (Henri II), Le Roi d'Espagne, Elisabeth (fille de France)	La cour	La cour
816	190	M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine, Cleves looks at wife to see her reaction when men are named	Mme de Clèves	Mme de Clèves	La cour
817	190	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II), Le Roi d'Espagne, Chevalier Guise, Elisabeth (fille de France), Maréchal de Saint-André	La cour	La cour
818	190	M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	M. de Cleves goes into the queen's cabinet to pretend to talk to king	M. de Clèves, Le Roi (Henri II), Catherine de Médicis	Le Roi (Henri II)	La cour
819	190	M. de Clèves	verbal exchange narrated by the narrator	Private	Court		Nemours	Mme de Clèves	La cour
820	190	Mme de Clèves	"Quoted" conversation	Private	Court		M. de Clèves, Nemours	M. de Clèves	La cour
821	190	M. de Clèves	"Quoted" conversation	Private	Court		Mme de Clèves, Nemours	Mme de Clèves	La cour
822	191	Nemours	verbal exchange narrated by the narrator	Private	Court		Mme de Clèves	Mme de Clèves	La cour
823	191	Mme de Clèves	"Quoted" conversation	Private	Court		Nemours	Nemours	La cour
824	191	Nemours	"Quoted" conversation	Private	Court		Mme de Clèves, Nemours	Mme de Clèves	La cour
825	191	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours	Mme de Clèves	No one else present
826	192	Mme de Clèves	physical exchange	Private	Home of Clèves in Paris	***the one time when they have a physical embrace***p.192	Mme de Clèves, M. de Clèves	Mme de Clèves, M. de Clèves	No one else present
827	192	Le Duc d'Albe	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elisabeth (fille de France), Le Duc d'Albe	Elisabeth (fille de France)	La cour
828	192	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Le Roi envoya "au-devant de lui"	Le Roi envoie ses gentilhommes rencontrer le duc d'Albe	Nemours, Cardinal de Lorraine, Le Duc de Lorraine, M. de Guise, M. de Guise, Prince de Condé, Ducs de Ferrare et d'Aumale, de Bouillon	Le Duc d'Albe	la jeunesse de la cour
829	192	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Premiere porte du Louvre		Le Roi (Henri II), Le Duc d'Albe	la jeunesse de la cour, Connétable de Montmorency, Le Duc d'Albe	La cour
830	192	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Au-devant du Roi	King sends gentilshommes en livrée ahead of himself to great duc dAlbe	Gentilshommes en livrée	Gentilshommes en livrée	Duc de Nemours, Cardinal de Lorraine, Le Chevalier de Guise, Monsieur de Guise, Duc de Ferrare, Prince de Condé, Monsieur de Guise
831	192	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Premiere porte du Louvre	Note how the location is different from the generic space of "court": this is meant to emphasize the big deal of meeting him at the "first door"	Le Duc d'Albe	Le Duc d'Albe	Deux cents gentilshommes servants
832	192	Le Duc d'Albe	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Premiere porte du Louvre	Duc D'albe tries to kiss king's knees.	Le Roi (Henri II)	Le Roi (Henri II)	Duc de Nemours, Cardinal de Lorraine, Monsieur de Guise, Gentilshommes en livrée, Deux cents gentilshommes servants, Duc de Ferrare, Connétable de Montmorency, Prince de Condé, Monsieur de Guise
